rate	block	order	mode	variant	instrumented	valid	accepted_pps	loss	conservation	cycles_per_pkt	l2_fills_per_pkt	ccx_fills_per_pkt	dram_fills_per_pkt	invalid_reasons	file
7000000	2	1	native	read-data	1	True	6999954.4	0.0	1.0	347.04	0.4682	0.0937	0.2242	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T164759Z_xdp_drop_7000000.json
7000000	2	2	skb	read-data	1	True	1243917.1	0.8223	1.0	2567.56	5.9913	0.2909	0.0639	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T164847Z_xdp_drop_7000000.json
7000000	2	3	native	no-touch	1	True	6999955.2	0.0	1.0	321.45	0.4012	0.0817	0.0113	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T164935Z_xdp_drop_7000000.json
7000000	2	4	skb	no-touch	1	True	1249768.3	0.821464	1.0	2555.51	6.6421	0.3032	0.0639	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T165023Z_xdp_drop_7000000.json
9500000	2	1	skb	read-data	1	True	1242827.1	0.869176	1.0	2569.79	6.2016	0.3432	0.0643	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T165110Z_xdp_drop_9500000.json
9500000	2	2	native	read-data	1	True	9500033.2	0.0	1.0	296.73	0.4156	0.0845	0.2229	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T165158Z_xdp_drop_9500000.json
9500000	2	3	skb	no-touch	1	True	1245999.8	0.868847	1.0	2563.24	6.6397	0.3142	0.0642	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T165246Z_xdp_drop_9500000.json
9500000	2	4	native	no-touch	1	True	9499942.0	0.0	1.0	265.32	0.3797	0.0809	0.0051	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T165333Z_xdp_drop_9500000.json
11000000	2	1	native	read-data	1	True	10999834.2	0.0	1.0	281.27	0.4441	0.0805	0.1881	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T165421Z_xdp_drop_11000000.json
11000000	2	2	skb	no-touch	1	True	1246504.0	0.886684	1.0	2562.22	6.3601	0.2975	0.0641	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T165509Z_xdp_drop_11000000.json
11000000	2	3	native	no-touch	1	True	10999949.7	0.0	1.0	252.27	0.4088	0.0653	0.0036	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T165556Z_xdp_drop_11000000.json
11000000	2	4	skb	read-data	1	True	1242803.9	0.88702	1.0	2569.86	5.7414	0.947	0.0635	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T165644Z_xdp_drop_11000000.json
6000000	2	1	skb	no-touch	1	True	1248927.1	0.79185	1.0	2557.25	5.3603	0.9113	0.0634	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T165732Z_xdp_drop_6000000.json
6000000	2	2	native	no-touch	1	True	6000007.4	0.0	1.0	338.53	0.9133	0.0716	0.0122	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T165819Z_xdp_drop_6000000.json
6000000	2	3	native	read-data	1	True	6000021.8	0.0	1.0	412.31	0.9286	0.1043	0.7153	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T165907Z_xdp_drop_6000000.json
6000000	2	4	skb	read-data	1	True	1246090.0	0.792319	1.0	2563.11	5.7657	0.2915	0.0651	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T165955Z_xdp_drop_6000000.json
4000000	2	1	native	read-data	1	True	4000011.8	0.0	1.0	475.35	0.923	0.0873	0.6784	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T170043Z_xdp_drop_4000000.json
4000000	2	2	skb	no-touch	1	True	1247466.8	0.688135	1.0	2560.17	5.3952	0.5433	0.0638	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T170131Z_xdp_drop_4000000.json
4000000	2	3	skb	read-data	1	True	1242737.6	0.689318	1.0	2569.99	5.3087	0.5422	0.0643	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T170218Z_xdp_drop_4000000.json
4000000	2	4	native	no-touch	1	True	4000007.1	0.0	1.0	374.96	0.4864	0.0698	0.0176	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T170306Z_xdp_drop_4000000.json
11500000	2	1	skb	no-touch	1	True	1251482.9	0.891179	1.0	2552.02	5.6789	0.28	0.0637	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T170354Z_xdp_drop_11500000.json
11500000	2	2	native	read-data	1	True	8442752.5	0.265849	1.0	378.13	0.9063	0.0662	0.8941	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T170441Z_xdp_drop_11500000.json
11500000	2	3	native	no-touch	1	True	11499995.8	0.0	1.0	248.91	0.7523	0.0621	0.0031	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T170529Z_xdp_drop_11500000.json
11500000	2	4	skb	read-data	1	True	1248706.3	0.891418	1.0	2557.69	6.2216	0.2747	0.0641	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T170617Z_xdp_drop_11500000.json
10000000	2	1	skb	no-touch	1	True	1247612.9	0.875241	1.0	2559.97	6.3013	0.2839	0.064	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T170705Z_xdp_drop_10000000.json
10000000	2	2	skb	read-data	1	True	1247769.3	0.875228	1.0	2559.63	6.1023	0.2813	0.064	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T170752Z_xdp_drop_10000000.json
10000000	2	3	native	read-data	1	True	8554146.0	0.144567	1.0	372.97	0.835	0.0646	0.8435	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T170840Z_xdp_drop_10000000.json
10000000	2	4	native	no-touch	1	True	9999935.4	0.0	1.0	259.54	1.1054	0.0593	0.0044	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T170928Z_xdp_drop_10000000.json
8500000	2	1	native	read-data	1	True	8500033.8	0.0	1.0	330.14	0.6788	0.0904	0.4645	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T171015Z_xdp_drop_8500000.json
8500000	2	2	skb	no-touch	1	True	1247852.7	0.853199	1.0	2559.47	6.3856	0.4848	0.0644	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T171103Z_xdp_drop_8500000.json
8500000	2	3	native	no-touch	1	True	8500035.9	0.0	1.0	285.21	0.7881	0.07	0.0077	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T171151Z_xdp_drop_8500000.json
8500000	2	4	skb	read-data	1	True	1242462.5	0.853825	1.0	2570.57	6.5063	1.0199	0.0634	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T171239Z_xdp_drop_8500000.json
14880952	2	1	native	no-touch	1	True	14286077.0	0.03995	1.0	223.56	0.957	0.0448	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T171327Z_xdp_drop_14880952.json
14880952	2	2	skb	no-touch	1	True	1244777.7	0.91615	1.0	2565.77	6.342	0.8754	0.0637	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T171414Z_xdp_drop_14880952.json
14880952	2	3	skb	read-data	1	True	1239464.6	0.916694	1.0	2576.75	6.0948	0.8474	0.0635	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T171502Z_xdp_drop_14880952.json
14880952	2	4	native	read-data	1	True	9388112.0	0.369096	1.0	340.07	0.6723	0.0692	0.6476	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T171550Z_xdp_drop_14880952.json
